City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
555,taoudenni,22.6783,-3.9836,44.47,12,35,4.53,ML,1722608801
556,tonj,7.2737,28.6822,31.72,46,53,0.49,SS,1722608802
557,argostolion,38.1811,20.489,31.04,66,0,5.14,GR,1722608803
558,el vigia,8.6219,-71.6506,29.9,54,100,2.56,VE,1722608804
559,awjilah,29.1081,21.2869,36.7,14,0,5.35,LY,1722608805
560,ostersund,63.1792,14.6357,16.45,77,100,3.09,SE,1722608691
561,rzepin,52.3464,14.8323,21.1,73,100,2.52,PL,1722608808
562,pokaran,26.9167,71.9167,27.74,78,100,4.58,IN,1722608809
563,ribeira brava,32.65,-17.0667,28.17,72,0,0.92,PT,1722608810
564,guerrero negro,27.9769,-114.0611,20.7,79,50,2.64,MX,1722608811
565,terme,41.2092,36.9739,27.96,60,0,4.35,TR,1722608812
566,fortuna,40.5982,-124.1573,16.07,97,100,0.0,US,1722608814
567,twon-brass,4.3151,6.2418,26.02,76,96,7.0,NG,1722608815
568,imbituba,-28.24,-48.6703,19.92,70,0,7.34,BR,1722608732
569,shaw heights,33.9846,-80.4826,31.73,72,20,3.6,US,1722608817
570,chorbane,35.2858,10.3858,42.61,11,0,2.7,TN,1722608818
571,sakaiminato,35.55,133.2333,27.99,100,40,1.54,JP,1722608819
572,zagreb,45.8131,15.9775,31.82,40,0,3.09,HR,1722608822
573,novodvinsk,64.4165,40.8122,21.86,55,55,1.76,RU,1722608823
574,roccella ionica,38.322,16.4009,32.95,43,0,3.27,IT,1722608824
575,hobyo,5.3505,48.5268,26.72,69,98,13.76,SO,1722608825
576,kourou,5.1552,-52.6478,31.03,59,4,1.76,GF,1722608826
577,kununurra,-15.7667,128.7333,18.99,68,4,0.0,AU,1722608827
578,tosontsengel,48.7567,98.2839,12.23,80,100,1.34,MN,1722608828
579,kulhudhuffushi,6.6221,73.07,28.54,76,100,4.13,MV,1722608829
580,derbent,42.0678,48.2899,26.46,62,2,4.58,RU,1722608831
581,banda aceh,5.5577,95.3222,27.41,83,76,2.25,ID,1722608832
582,stornoway,58.2093,-6.3865,14.98,94,75,8.75,GB,1722608833
583,kavalerovo,44.2661,135.0572,18.51,99,100,1.27,RU,1722608834
584,kenai,60.5544,-151.2583,12.3,80,100,6.17,US,1722608835
585,saudarkrokur,65.7461,-19.6394,12.85,71,60,3.17,IS,1722608836
586,dzhangala,49.2167,50.3333,31.24,18,18,6.56,KZ,1722608839
587,sambava,-14.2667,50.1667,24.18,63,0,7.49,MG,1722608840
588,pandan,14.0453,124.1694,27.06,83,88,1.03,PH,1722608841
589,mead,47.7674,-117.3549,22.44,65,0,0.0,US,1722608842
590,porto franco,-6.3383,-47.3992,34.69,24,58,4.12,BR,1722608843
591,torrijos,39.9819,-4.2835,36.8,18,0,4.4,ES,1722608844
592,gubkinskiy,64.434,76.5026,24.13,48,98,3.95,RU,1722608845
593,ta`u,-14.2336,-169.5144,25.94,71,100,6.7,AS,1722608847
594,nar'yan-mar,67.6713,53.087,18.07,64,21,8.29,RU,1722608848
